"[all run data]","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen"
,"24","120694","50.96559160866582","24","126748","50.73032055680816","24","121897","51.48514851485149","24","83479","49.38731496912068","24","83743","48.916772865405356","24","121537","50.33820213704539","24","122383","51.0342123321243","24","109201","50.524458386432705","24","145855","54.43583962356632","24","125419","51.377315949416726"
,"25","126997","51.23027154200568","25","133216","50.97539456915989","25","128074","51.867463974120184","25","89941","49.63238898147241","25","90274","49.1912557592393","25","127732","50.602882070385256","25","129271","51.31849818645231","25","115825","50.74012351730223","25","152047","54.847563964317224","25","131644","51.69101068522694"
,"26","133390","51.45573963336928","26","139453","51.12243897657092","26","134509","52.210567591412605","26","96490","49.8872659543182","26","96907","49.38731496912068","26","134437","50.83815312224292","26","136054","51.47534555435742","26","122161","51.05381825311244","26","158446","55.200470542103716","26","138355","52.04391726301343"
,"27","139870","51.66160180374473","27","145813","51.377315949416726","27","140872","52.396823840799925","27","103048","50.06371924321145","27","103534","49.59317713949613","27","140737","51.1616508185472","27","142945","51.74002548769728","27","129013","51.357710028428585","27","165085","55.51416527791393","27","144952","52.35761199882364"
,"28","146680","51.896872855602396","28","152281","51.602784040780314","28","147616","52.70071561611607","28","109903","50.269581413586906","28","110254","49.70100970493089","28","146737","51.357710028428585","28","149941","51.90667581609646","28","135484","51.57337515929811","28","171742","55.75923929026566","28","151849","52.61248897166945"
,"29","153241","52.19096167042447","29","158560","51.798843250661704","29","154339","52.95559258896186","29","116545","50.63229095186747","29","116764","49.86766003333006","29","152974","51.612587001274385","29","156940","52.122340946965984","29","142177","51.710616606215076","29","178405","55.974904421135186","29","158533","52.84776002352711"
,"30","159454","52.35761199882364","30","165031","51.9262817370846","30","160831","53.11243995686697","30","123133","50.81854720125477","30","123694","50.083325164199586","30","159565","51.80864621115577","30","163513","52.28899127536516","30","148783","51.867463974120184","30","184819","56.33761395941575","30","165283","53.05362219390256"
,"31","166060","52.62229193216351","31","171634","52.24977943338888","31","167359","53.33790804823057","31","129634","51.02440937163023","31","130255","50.31859621605725","31","165928","52.112537986471914","31","170269","52.475247524752476","31","155344","52.04391726301343","31","190972","56.49446132732085","31","172144","53.27909028526615"
,"32","172684","52.985001470444075","32","178162","52.4360356827762","32","173830","53.494755416135675","32","136183","51.279286344476034","32","137197","50.61268503087932","32","172237","52.35761199882364","32","177064","52.62229193216351","32","162106","52.132143907460055","32","197545","56.78855014214293","32","178474","53.573179100088225"
,"33","178813","53.26928732477208","33","184513","52.553671208705026","33","180466","53.76923830996961","33","142744","51.5439662778159","33","143767","50.8773649642192","33","178939","52.641897853151654","33","183982","52.92618370747966","33","168868","52.377217919811784","33","203689","57.2100774433879","33","185239","53.847661993922166"
,"34","185176","53.53396725811195","34","190858","52.80854818155083","34","187498","54.04372120380355","34","149314","51.857661013626114","34","150253","51.07342417410058","34","185389","52.84776002352711","34","190849","53.19086364081953","34","175483","52.62229193216351","34","210298","57.47475737672777","34","192082","54.01431232232134"
,"35","191659","53.808450151945884","35","197488","53.08303107538477","35","194167","54.4750514655426","35","155755","52.07332614449564","35","157234","51.24007450249975","35","191851","53.239878443289875","35","197965","53.38692285070091","35","182374","52.85756298402117","35","216607","57.7198313890795","35","198877","54.18096265072052"
